Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
-80,559.25,510.44,510.99,415.83,231.37,26.11,0
-81,567.81,517.34,516.53,419.48,232.62,25.6,0
-82,574.42,522.46,520.26,421.63,233.05,25,0
-83,578.63,525.42,521.84,422.06,232.52,24.31,0
-84,580.17,525.98,521.09,420.64,231.01,23.54,0
-85,578.98,524.14,518.05,417.41,228.55,22.73,0
-86,575.23,520.05,512.89,412.56,225.28,21.89,0
-87,569.26,514.07,506,406.41,221.37,21.07,0
-88,561.63,506.67,497.89,399.38,217.08,20.28,0
-89,553,498.49,489.18,391.97,212.68,19.57,0
-90,544.11,490.18,480.53,384.73,208.47,18.96,0
-91,535.7,482.41,472.59,378.18,204.75,18.48,0
-92,528.47,475.82,466,372.81,201.76,18.15,0
-93,523.02,470.94,461.26,369.05,199.75,17.99,0
-94,519.82,468.19,458.79,367.21,198.88,18.01,0
-95,519.16,467.83,458.85,367.51,199.27,18.23,0
-96,521.13,469.96,461.52,370.01,200.95,18.64,0
-97,525.62,474.46,466.7,374.64,203.89,19.26,0
-98,532.28,481.04,474.11,381.18,207.97,20.07,0
-99,540.58,489.22,483.28,389.24,212.99,21.07,0
-100,549.79,498.34,493.54,398.3,218.65,22.21,0
-101,559.03,507.6,504.11,407.7,224.59,23.46,0
-102,567.36,516.12,514.07,416.7,230.39,24.77,0
-103,573.84,523.04,522.52,424.54,235.6,26.08,0
-104,577.62,527.54,528.61,430.49,239.8,27.31,0
-105,578.09,529.03,531.67,433.97,242.62,28.39,0
-106,574.92,527.14,531.26,434.58,243.8,29.25,0
-107,568.13,521.86,527.3,432.19,243.23,29.85,0
-108,558.12,513.5,520.03,426.98,240.97,30.15,0
-109,545.61,502.68,510.05,419.4,237.24,30.17,0
-110,531.61,490.31,498.23,410.15,232.42,29.92,0
-111,517.28,477.43,485.62,400.08,226.99,29.46,0
-112,503.79,465.15,473.35,390.11,221.46,28.85,0
-113,492.29,454.51,462.49,381.14,216.35,28.17,0
-114,483.71,446.39,453.95,373.93,212.1,27.48,0
-115,478.79,441.48,448.45,369.07,209.06,26.83,0
-116,477.97,440.2,446.42,366.94,207.44,26.26,0
-117,481.39,442.69,448.01,367.66,207.32,25.79,0
-118,488.9,448.81,453.09,371.12,208.64,25.41,0
-119,500.04,458.15,461.23,376.98,211.21,25.1,0
-120,514.09,470.05,471.79,384.71,214.75,24.83,0
-121,530.08,483.65,483.91,393.64,218.87,24.58,0
-122,546.88,497.92,496.61,402.97,223.17,24.31,0
-123,563.27,511.8,508.85,411.89,227.22,24,0
-124,578.05,524.24,519.64,419.64,230.61,23.63,0
-125,590.16,534.29,528.12,425.56,233.04,23.2,0
-126,598.77,541.25,533.67,429.19,234.28,22.71,0
-127,603.35,544.69,535.9,430.27,234.23,22.18,0
-128,603.73,544.48,534.76,428.77,232.9,21.63,0
-129,600.11,540.81,530.47,424.91,230.42,21.1,0
-130,592.98,534.14,523.51,419.07,227.02,20.6,0
-131,583.11,525.15,514.56,411.81,223,20.17,0
-132,571.38,514.66,504.38,403.74,218.69,19.83,0
-133,558.78,503.52,493.82,395.5,214.43,19.6,0
-134,546.23,492.56,483.65,387.71,210.53,19.5,0
-135,534.58,482.52,474.57,380.93,207.28,19.56,0
-136,524.52,474.01,467.16,375.57,204.9,19.76,0
-137,516.54,467.48,461.82,371.97,203.55,20.14,0
-138,510.96,463.19,458.8,370.3,203.31,20.68,0
-139,507.89,461.23,458.17,370.61,204.22,21.38,0
-140,507.28,461.55,459.84,372.83,206.21,22.24,0
-141,508.88,463.92,463.6,376.75,209.16,23.22,0
-142,512.37,468.02,469.08,382.07,212.89,24.29,0
-143,517.3,473.42,475.81,388.4,217.17,25.43,0
-144,523.14,479.62,483.29,395.29,221.72,26.56,0
-145,529.38,486.11,490.95,402.26,226.26,27.66,0
-146,535.5,492.4,498.25,408.84,230.5,28.64,0
-147,541.05,498.03,504.7,414.61,234.17,29.47,0
-148,545.63,502.62,509.87,419.19,237.06,30.09,0
-149,548.99,505.91,513.49,422.33,238.99,30.47,0
-150,550.94,507.73,515.35,423.88,239.88,30.6,0
-151,551.45,508.03,515.43,423.8,239.71,30.46,0
-152,550.55,506.87,513.79,422.16,238.52,30.08,0
-153,548.38,504.39,510.6,419.11,236.41,29.48,0
-154,545.16,500.82,506.12,414.89,233.54,28.7,0
-155,541.15,496.43,500.67,409.77,230.09,27.78,0
-156,536.63,491.51,494.58,404.08,226.26,26.77,0
-157,531.94,486.39,488.23,398.13,222.26,25.72,0
-158,527.39,481.4,481.98,392.26,218.28,24.66,0
-159,523.31,476.85,476.18,386.76,214.53,23.65,0
-160,520.02,473.06,471.17,381.93,211.17,22.71,0
-161,517.79,470.28,467.25,378.02,208.35,21.86,0
-162,516.88,468.77,464.66,375.24,206.22,21.13,0
-163,517.49,468.7,463.6,373.77,204.86,20.54,0
-164,519.75,470.2,464.21,373.71,204.34,20.08,0
-165,523.7,473.32,466.54,375.12,204.69,19.78,0
-166,529.3,478,470.55,377.96,205.9,19.62,0
-167,536.38,484.12,476.1,382.13,207.91,19.6,0
-168,544.66,491.4,482.97,387.45,210.64,19.72,0
-169,553.73,499.5,490.78,393.63,213.92,19.96,0
